,Entity,Code,Year,Cellular Subscription,Internet Users(%),No. of Internet Users,Broadband Subscription
5990,North America,Region,2020,104.0937195,91.52128601,480339051,37.15351868
5989,North America,Region,2019,106.4360199,90.15198517,469786837,35.31257629
5988,North America,Region,2018,104.7456207,89.12409973,456311802,34.37990952
5987,North America,Region,2017,119.3097458,87.82762909,442613008,33.75335693
5986,North America,Region,2016,118.7373199,86.11499786,422534219,33.1393013
5985,North America,Region,2015,115.4471054,76.11729431,375180404,32.31582642
5984,North America,Region,2014,108.4499359,74.42523193,346671429,31.15467644
5983,North America,Region,2013,96.41542816,72.8493042,334419270,30.7499752
5982,North America,Region,2012,95.30652618,75.53353119,334195707,29.86077118
5981,North America,Region,2011,93.6787796,71.05696106,309258710,28.77575874
5980,North America,Region,2010,90.62047577,72.54899597,302162765,27.7891655
5979,North America,Region,2009,87.66919708,71.9250946,290247644,26.55597305
5978,North America,Region,2008,84.14374542,74.26880646,288458533,25.82634354
5977,North America,Region,2007,80.82795715,74.82218933,284394197,24.2226696
5976,North America,Region,2006,75.19298553,69.27302551,260383632,20.67589569
5975,North America,Region,2005,67.4673233,68.33043671,250868733,17.7795105
5974,North America,Region,2004,61.64886475,64.87501526,232873932,13.19323158
5973,North America,Region,2003,54.13331604,61.94128799,218597042,10.03952026
5972,North America,Region,2002,48.25456238,59.05886078,205262123,7.346833706
5971,North America,Region,2001,44.10103989,50.16862869,168489598,4.953852177
5970,North America,Region,2000,37.84620285,43.8841629,144214970,2.71560216
5969,North America,Region,1999,30.09589386,35.8827095,113888012,1.080226302
5968,North America,Region,1998,24.42752457,29.58262062,92305573,0.277164906
5967,North America,Region,1997,19.73917198,20.97143364,64240918,0
5966,North America,Region,1996,15.96363926,15.46402645,46471992,0
5965,North America,Region,1995,12.35830021,8.73395443,25896301,0
5964,North America,Region,1994,8.931473732,4.615499973,13494936,0
5963,North America,Region,1993,6.01987648,2.163471699,6245523,0
5962,North America,Region,1992,4.227919579,1.643862724,4674145,0
5961,North America,Region,1991,2.950339079,1.104413509,3090832,0
5960,North America,Region,1990,2.097763777,0.742835641,2046626,0
2199,East Asia and Pacific,Region,1980,0,0,0,0
2200,East Asia and Pacific,Region,1981,0.00082811,0,0,0
2201,East Asia and Pacific,Region,1982,0.00121646,0,0,0
2202,East Asia and Pacific,Region,1983,0.001644706,0,0,0
2203,East Asia and Pacific,Region,1984,0.002634352,0,0,0
2204,East Asia and Pacific,Region,1985,0.004135006,0,0,0
2205,East Asia and Pacific,Region,1986,0.007392307,0,0,0
2206,East Asia and Pacific,Region,1987,0.012790523,0,0,0
2207,East Asia and Pacific,Region,1988,0.023508253,0,0,0
2208,East Asia and Pacific,Region,1989,0.049539901,0,0,0
2209,East Asia and Pacific,Region,1990,0.088282511,0.007210874,0,0
2210,East Asia and Pacific,Region,1991,0.145204097,0.014867534,0,0
2211,East Asia and Pacific,Region,1992,0.211898997,0.031197619,0,0
2212,East Asia and Pacific,Region,1993,0.311311603,0.062183678,0,0
2213,East Asia and Pacific,Region,1994,0.57471633,0.107776619,0,0
2214,East Asia and Pacific,Region,1995,1.24323535,0.19306688,0,0
2215,East Asia and Pacific,Region,1996,2.465394735,0.467536896,0,0
2216,East Asia and Pacific,Region,1997,3.708793163,1.083685637,0,0
2217,East Asia and Pacific,Region,1998,5.26708746,1.88541472,0,0
2218,East Asia and Pacific,Region,1999,7.773077965,3.417878151,0,0
2219,East Asia and Pacific,Region,2000,11.31717205,5.609240532,0,0.321039349
2220,East Asia and Pacific,Region,2001,15.70332909,7.278347969,0,0.739899874
2221,East Asia and Pacific,Region,2002,20.17777061,9.030170441,0,1.372659087
2222,East Asia and Pacific,Region,2003,24.56000519,10.578619,0,2.097007513
2223,East Asia and Pacific,Region,2004,29.39855957,12.62815285,0,3.10912776
2224,East Asia and Pacific,Region,2005,33.83504868,14.68647289,0,3.919806719
2225,East Asia and Pacific,Region,2006,39.21673965,16.63749886,0,4.924324512
2226,East Asia and Pacific,Region,2007,47.7391777,20.79045677,0,5.751167297
2227,East Asia and Pacific,Region,2008,56.76871109,25.28549385,0,6.896632671
2228,East Asia and Pacific,Region,2009,64.59198761,29.55066299,0,8.145584106
2229,East Asia and Pacific,Region,2010,73.36464691,34.270504,0,9.658559799
2230,East Asia and Pacific,Region,2011,82.88085175,37.40225983,0,10.81741524
2231,East Asia and Pacific,Region,2012,91.22488403,40.45217514,0,12.05172157
2232,East Asia and Pacific,Region,2013,97.85112,43.31155777,0,12.76565266
2233,East Asia and Pacific,Region,2014,102.9417801,46.09100342,0,13.30828094
2234,East Asia and Pacific,Region,2015,103.6301575,48.87998962,0,16.4893856
2235,East Asia and Pacific,Region,2016,109.770546,52.24224854,0,18.61584282
2236,East Asia and Pacific,Region,2017,115.9160614,54.37322998,0,21.86641312
2237,East Asia and Pacific,Region,2018,121.8982468,59.51553726,0,22.70910072
2238,East Asia and Pacific,Region,2019,128.019165,63.94029617,0,24.66749763
2239,East Asia and Pacific,Region,2020,125.8894348,69.21808624,0,26.41097069
2565,Europe and Central Asia,Region,1980,0.002997446,0,0,0
2566,Europe and Central Asia,Region,1981,0.006382067,0,0,0
2567,Europe and Central Asia,Region,1982,0.010007984,0,0,0
2568,Europe and Central Asia,Region,1983,0.015549167,0,0,0
2569,Europe and Central Asia,Region,1984,0.023953529,0,0,0
2570,Europe and Central Asia,Region,1985,0.041909091,0,0,0
2571,Europe and Central Asia,Region,1986,0.068818398,0,0,0
2572,Europe and Central Asia,Region,1987,0.116465196,0,0,0
2573,Europe and Central Asia,Region,1988,0.192170203,0,0,0
2574,Europe and Central Asia,Region,1989,0.301797479,0,0,0
2575,Europe and Central Asia,Region,1990,0.415804714,0.048057836,0,0
2576,Europe and Central Asia,Region,1991,0.566078603,0.101974972,0,0
2577,Europe and Central Asia,Region,1992,0.746567488,0.180908248,0,0
2578,Europe and Central Asia,Region,1993,1.105965614,0.280383199,0,0
2579,Europe and Central Asia,Region,1994,1.79921627,0.5259009,0,0
2580,Europe and Central Asia,Region,1995,2.853200197,0.993127406,0,0
2581,Europe and Central Asia,Region,1996,4.490180969,1.841429591,0,0
2582,Europe and Central Asia,Region,1997,7.207165241,3.355169773,0,0
2583,Europe and Central Asia,Region,1998,12.31103897,5.431180954,0,0
2584,Europe and Central Asia,Region,1999,21.38727379,9.225804329,0,0
2585,Europe and Central Asia,Region,2000,34.23002243,13.15625572,0,0
2586,Europe and Central Asia,Region,2001,42.12865829,16.38033867,0,0
2587,Europe and Central Asia,Region,2002,47.77817917,23.00713348,0,1.892228246
2588,Europe and Central Asia,Region,2003,55.26093292,28.30975723,0,3.19207859
2589,Europe and Central Asia,Region,2004,66.34217072,32.29573059,0,5.498925209
2590,Europe and Central Asia,Region,2005,81.26337433,35.16139984,0,7.701233387
2591,Europe and Central Asia,Region,2006,94.82772827,38.03142548,0,10.70992661
2592,Europe and Central Asia,Region,2007,106.6048889,43.63716888,0,13.3998251
2593,Europe and Central Asia,Region,2008,115.3398743,48.18250275,0,15.57634926
2594,Europe and Central Asia,Region,2009,119.7312241,52.7603302,0,17.40072823
2595,Europe and Central Asia,Region,2010,120.5264511,57.08758163,0,19.02988625
2596,Europe and Central Asia,Region,2011,120.609375,60.27293015,0,20.35900688
2597,Europe and Central Asia,Region,2012,122.706337,63.95801163,0,21.54436302
2598,Europe and Central Asia,Region,2013,125.1415634,66.31938934,0,22.80157089
2599,Europe and Central Asia,Region,2014,124.9460907,68.9834137,0,23.67259026
2600,Europe and Central Asia,Region,2015,124.3710251,70.01831055,0,24.83456421
2601,Europe and Central Asia,Region,2016,124.1611481,72.3966217,0,25.74404907
2602,Europe and Central Asia,Region,2017,124.3263245,74.52881622,0,27.02977943
2603,Europe and Central Asia,Region,2018,123.6504745,78.92041016,0,28.34902382
2604,Europe and Central Asia,Region,2019,125.893837,81.823349,0,28.73130226
2605,Europe and Central Asia,Region,2020,125.024765,83.88905334,0,29.86840439
2606,European Union,Region,1980,0.005769306,0,0,0
2607,European Union,Region,1981,0.011907768,0,0,0
2608,European Union,Region,1982,0.016671808,0,0,0
2609,European Union,Region,1983,0.0253982,0,0,0
2610,European Union,Region,1984,0.039133545,0,0,0
2611,European Union,Region,1985,0.05583721,0,0,0
2612,European Union,Region,1986,0.081813559,0,0,0
2613,European Union,Region,1987,0.126658723,0,0,0
2614,European Union,Region,1988,0.196935415,0,0,0
2615,European Union,Region,1989,0.300525516,0,0,0
2616,European Union,Region,1990,0.471639901,0.066722371,0,0
2617,European Union,Region,1991,0.712138951,0.145183742,0,0
2618,European Union,Region,1992,0.987683475,0.27183935,0,0
2619,European Union,Region,1993,1.485667944,0.415061295,0,0
2620,European Union,Region,1994,2.373814821,0.785199225,0,0
2621,European Union,Region,1995,3.845132828,1.514689445,0,0
2622,European Union,Region,1996,6.498644352,2.624622822,0,0
2623,European Union,Region,1997,11.06748676,4.802361012,0,0
2624,European Union,Region,1998,19.00996971,7.693032265,0,0
2625,European Union,Region,1999,32.36774445,13.62786007,0,0
2626,European Union,Region,2000,51.05476761,19.64716911,0,0.501733661
2627,European Union,Region,2001,63.28095245,24.13899422,0,1.508933187
2628,European Union,Region,2002,69.65400696,32.12826157,0,2.874377012
2629,European Union,Region,2003,76.5147171,38.60779572,0,4.752099037
2630,European Union,Region,2004,84.55299377,44.18730927,0,7.842468739
2631,European Union,Region,2005,94.61271667,48.30194473,0,11.53594017
2632,European Union,Region,2006,104.2698517,52.55020523,0,15.76217365
2633,European Union,Region,2007,115.2291031,58.24910355,0,19.6163044
2634,European Union,Region,2008,121.3038406,62.25009537,0,22.09218979
2635,European Union,Region,2009,121.0548248,64.992836,0,24.27816963
2636,European Union,Region,2010,118.4849319,68.69564056,0,25.87135696
2637,European Union,Region,2011,121.6659698,69.66178131,0,27.30134201
2638,European Union,Region,2012,123.701767,71.85745239,0,28.18911362
2639,European Union,Region,2013,125.0368423,73.61036682,0,29.24551964
2640,European Union,Region,2014,123.6072845,75.1855011,0,30.3546505
2641,European Union,Region,2015,121.8227997,75.65441895,0,31.449646
2642,European Union,Region,2016,122.1450348,76.89717865,0,32.55284119
2643,European Union,Region,2017,122.491127,78.683815,0,33.7685318
2644,European Union,Region,2018,121.8940125,81.7383728,0,34.73271179
2645,European Union,Region,2019,121.8064041,83.84421539,0,35.63103867
2646,European Union,Region,2020,121.492485,84.74347687,0,36.79727554
4303,Latin America and Caribbean,Region,1980,0,0,0,0
4304,Latin America and Caribbean,Region,1981,0,0,0,0
4305,Latin America and Caribbean,Region,1982,0,0,0,0
4306,Latin America and Caribbean,Region,1983,0,0,0,0
4307,Latin America and Caribbean,Region,1984,0,0,0,0
4308,Latin America and Caribbean,Region,1985,0,0,0,0
4309,Latin America and Caribbean,Region,1986,0,0,0,0
4310,Latin America and Caribbean,Region,1987,0.000953963,0,0,0
4311,Latin America and Caribbean,Region,1988,0.0028667,0,0,0
4312,Latin America and Caribbean,Region,1989,0.007261325,0,0,0
4313,Latin America and Caribbean,Region,1990,0.028407868,0,0,0
4314,Latin America and Caribbean,Region,1991,0.066240527,0.002226482,0,0
4315,Latin America and Caribbean,Region,1992,0.141530961,0.009637492,0,0
4316,Latin America and Caribbean,Region,1993,0.243965089,0.021121271,0,0
4317,Latin America and Caribbean,Region,1994,0.476462752,0.043406889,0,0
4318,Latin America and Caribbean,Region,1995,0.815593004,0.105625845,0,0
4319,Latin America and Caribbean,Region,1996,1.357749224,0.309551537,0,0
4320,Latin America and Caribbean,Region,1997,2.563148737,0.608914614,0,0
4321,Latin America and Caribbean,Region,1998,4.204315186,1.228739381,0,0
4322,Latin America and Caribbean,Region,1999,7.819766998,2.046568394,0,0
