,Entity,Code,Year,Cellular Subscription,Internet Users(%),No. of Internet Users,Broadband Subscription
3446,High income,Region,1980,0.002556409,0,0,0
3447,High income,Region,1981,0.009172077,0,0,0
3448,High income,Region,1982,0.014539199,0,0,0
3449,High income,Region,1983,0.022426618,0,0,0
3450,High income,Region,1984,0.037424721,0,0,0
3451,High income,Region,1985,0.086219773,0,0,0
3452,High income,Region,1986,0.150812805,0,0,0
3453,High income,Region,1987,0.261162579,0,0,0
3454,High income,Region,1988,0.43905741,0,0,0
3455,High income,Region,1989,0.739786506,0,0,0
3456,High income,Region,1990,1.085421443,0.260944277,0,0
3457,High income,Region,1991,1.546413302,0.422065675,0,0
3458,High income,Region,1992,2.153324604,0.670800328,0,0
3459,High income,Region,1993,3.072415829,0.955662131,0,0
3460,High income,Region,1994,4.825482368,1.92546916,0,0
3461,High income,Region,1995,7.625249863,3.615717888,0,0
3462,High income,Region,1996,11.89517498,6.645937443,0,0
3463,High income,Region,1997,16.79572678,10.49251556,0,0
3464,High income,Region,1998,24.12748146,15.75912952,0,0
3465,High income,Region,1999,35.37874985,22.77308655,0,0
3466,High income,Region,2000,49.28394699,30.54506874,0,1.676166534
3467,High income,Region,2001,58.19322586,36.63056564,0,3.454309702
3468,High income,Region,2002,63.78737259,45.07466125,0,5.73710537
3469,High income,Region,2003,69.78310394,49.80464554,0,8.186545372
3470,High income,Region,2004,76.49964905,55.00018692,0,11.3645916
3471,High income,Region,2005,83.76067352,58.70057678,0,15.10663128
3472,High income,Region,2006,91.43806458,61.41034317,0,18.56913376
3473,High income,Region,2007,99.7668457,66.80964661,0,21.68961334
3474,High income,Region,2008,104.2286301,68.90400696,0,23.60426903
3475,High income,Region,2009,107.192009,70.14591217,0,25.04172707
3476,High income,Region,2010,109.0973434,72.24767303,0,26.35345268
3477,High income,Region,2011,112.9563446,72.79930115,0,27.54010201
3478,High income,Region,2012,115.4164124,75.49973297,0,28.47542763
3479,High income,Region,2013,117.2102737,76.85536957,0,29.94844246
3480,High income,Region,2014,121.3795929,78.4944458,0,30.59882355
3481,High income,Region,2015,123.2121735,79.93095398,0,31.33831787
3482,High income,Region,2016,124.7535934,84.27359772,0,32.23887253
3483,High income,Region,2017,124.8612289,85.77418518,0,33.17347717
3484,High income,Region,2018,121.1952362,87.48468018,0,33.87154388
3485,High income,Region,2019,122.5303268,89.04125214,0,34.65136719
3486,High income,Region,2020,122.3058472,89.82161713,0,35.96955872
4612,Low and middle income,Region,1980,0,0,0,0
4613,Low and middle income,Region,1981,0,0,0,0
4614,Low and middle income,Region,1982,0,0,0,0
4615,Low and middle income,Region,1983,0,0,0,0
4616,Low and middle income,Region,1984,4.62E-05,0,0,0
4617,Low and middle income,Region,1985,5.27E-05,0,0,0
4618,Low and middle income,Region,1986,0.000419049,0,0,0
4619,Low and middle income,Region,1987,0.000950838,0,0,0
4620,Low and middle income,Region,1988,0.001748645,0,0,0
4621,Low and middle income,Region,1989,0.003271965,0,0,0
4622,Low and middle income,Region,1990,0.007422157,0,0,0
4623,Low and middle income,Region,1991,0.014873536,0.000344388,0,0
4624,Low and middle income,Region,1992,0.028970305,0.001215402,0,0
4625,Low and middle income,Region,1993,0.056503501,0.003726073,0,0
4626,Low and middle income,Region,1994,0.120226569,0.010293502,0,0
4627,Low and middle income,Region,1995,0.240524575,0.032198898,0,0
4628,Low and middle income,Region,1996,0.426727593,0.077583812,0,0
4629,Low and middle income,Region,1997,0.775762498,0.154780224,0,0
4630,Low and middle income,Region,1998,1.24478209,0.35319066,0,0
4631,Low and middle income,Region,1999,2.228120327,0.708471537,0,0
4632,Low and middle income,Region,2000,4.063334942,1.434390545,0,0
4633,Low and middle income,Region,2001,6.400948048,2.037630081,0,0
4634,Low and middle income,Region,2002,8.984610558,3.440052032,0,0.125917599
4635,Low and middle income,Region,2003,12.29148102,4.510397434,0,0.348451346
4636,Low and middle income,Region,2004,17.09732819,5.795556545,0,0.772954762
4637,Low and middle income,Region,2005,23.43421936,6.856688499,0,1.068013191
4638,Low and middle income,Region,2006,31.22567368,8.426906586,0,1.538822532
4639,Low and middle income,Region,2007,40.03995895,10.98380375,0,2.023387432
4640,Low and middle income,Region,2008,50.12977219,13.72850895,0,2.670254469
4641,Low and middle income,Region,2009,59.36803436,16.60581207,0,3.385546207
4642,Low and middle income,Region,2010,69.48369598,20.13169098,0,4.049217701
4643,Low and middle income,Region,2011,77.84062195,23.01870918,0,5.065701962
4644,Low and middle income,Region,2012,82.43634033,25.52278328,0,5.482978344
