ID,Entity,Code,Year,Cellular Subscription,Internet Users(%),No. of Internet Users,Broadband Subscription
40,Afghanistan,AFG,2020,58.2558136,18.39999962,7170891,0.068253607
81,Albania,ALB,2020,91.00294495,72.23999786,2071012,17.68495178
122,Algeria,DZA,2020,103.8873138,62.90000153,27331100,8.643942833
185,Andorra,AND,2020,121.6592255,0,0,47.88714218
226,Angola,AGO,2020,44.55950928,36,12034256,0.701661587
260,Antigua and Barbuda,ATG,2020,187.8912201,0,0,8.169183731
301,Argentina,ARG,2020,121.1704025,85.5,38505807,21.1780014
342,Armenia,ARM,2020,117.7357712,76.51000214,2146572,14.52486324
377,Aruba,ABW,2020,132.0645142,0,0,17.79592705
418,Australia,AUS,2020,107.659317,89.59999847,23000366,35.68494415
459,Austria,AUT,2020,118.9981308,87.52942657,7796929,28.93498611
500,Azerbaijan,AZE,2020,102.0230713,84.59999847,8701069,19.68082809
540,Bahamas,BHS,2020,118.5014877,87,353636,21.10648918
581,Bahrain,BHR,2020,102.7678452,99.66999817,1472602,8.752362251
622,Bangladesh,BGD,2020,107.0375443,24.79999924,41520393,6.10410881
663,Barbados,BRB,2020,102.6533279,0,0,44.54110336
704,Belarus,BLR,2020,123.8616104,85.08999634,8197353,34.45275497
745,Belgium,BEL,2020,99.48320007,91.52641296,10582024,40.84869766
786,Belize,BLZ,2020,66.3937149,0,0,9.053688049
827,Benin,BEN,2020,91.89727783,25.79999924,3261925,0.247302696
864,Bermuda,BMU,2020,109.1878357,0,0,36.93117905
905,Bhutan,BTN,2020,96.56937408,53.5,413294,0.413292766
946,Bolivia,BOL,2020,101.1250076,59.94010162,7154552,7.983520508
987,Bosnia and Herzegovina,BIH,2020,106.9755478,73.20999908,2429408,23.48267365
1028,Botswana,BWA,2020,162.8407898,64,1629699,11.03597641
1069,Brazil,BRA,2020,96.83634949,81.34269714,173419624,17.09859276
1092,British Virgin Islands,VGB,2020,116.3143768,0,0,22.28837967
1132,Brunei,BRN,2020,122.6548004,95,419649,16.24717903
1173,Bulgaria,BGR,2020,114.3527679,70.16000366,4896594,30.43922806
1214,Burkina Faso,BFA,2020,105.8074417,22,4734979,0.066874698
1255,Burundi,BDI,2020,55.76714706,9.399999619,1148701,0.035573769
1296,Cambodia,KHM,2020,126.1249771,0,0,1.3982445
1337,Cameroon,CMR,2020,84.19507599,37.79999924,10013632,2.722002268
1378,Canada,CAN,2020,85.73967743,96.97000122,36740677,41.9314003
1419,Cape Verde,CPV,2020,97.9751358,64.5,375807,4.467550278
